annotation,unicode_annotation,medium_resolution,large_resolution
CD4_Naive,CD4⁺ naive T,CD4_Naive,CD4_T
CD4_Naive_SOX4pos,CD4⁺ SOX4⁺ naive T,CD4_Naive,CD4_T
CD4_Tfh,CD4⁺ Tfh,CD4_Memory,CD4_T
CD4_Treg_Naive,CD4⁺ naive Treg,CD4_Treg,CD4_T
CD4_Treg_Memory,CD4⁺ memory Treg,CD4_Treg,CD4_T
CD4_CD69hi,CD4⁺ CD69ʰⁱ,CD4_Memory,CD4_T
CD4_CTLA4pos,CD4⁺ CTLA4⁺,CD4_Naive,CD4_T
CD4_CCR6hi,CD4⁺ CCR6ʰⁱ,CD4_Memory,CD4_T
CD4_CCR4hi,CD4⁺ CCR4ʰⁱ,CD4_Memory,CD4_T
CD4_IFNresp,CD4⁺ IFNʰⁱ,CD4_Naive,CD4_T
CD4_BACH2hi_MThi,CD4⁺ BACH2ʰⁱ MTʰⁱ,CD4_Naive,CD4_T
CD4_ARHGAP15hi_MThi,CD4⁺ ARHGAP15ʰⁱ MTʰⁱ,CD4_Memory,CD4_T
CD8_Naive,CD8⁺ naive T,CD8_Naive,nonCD4_T
CD8_GZMK,CD8⁺ GZMK,CD8_Memory,nonCD4_T
CD8_GZMB,CD8⁺ GZMB,CD8_Memory,nonCD4_T
ILC3,ILC3,Innatelike_Immune,nonCD4_T
gD,γδ,Innatelike_Immune,nonCD4_T
MAIT,MAIT,Innatelike_Immune,nonCD4_T
NK_NCAMposFCGR3Ahi,CD56⁺ CD16ʰⁱ NK,NK,nonCD4_T
NK_NCAMhiFCGR3Alow,CD56ᵇʳⁱᵍʰᵗ CD16ˡᵒ NK,NK,nonCD4_T
B_Naive,Naive B,B_Naive,B_cell
B_Naive_FOXP1hi,Naive FOXP1ʰⁱ B,B_Naive,B_cell
B_preTS,TS/pre B,B_Naive,B_cell
B_DN_MThi,DN MTʰⁱ B,B_Other,B_cell
B_IFITM1hi,IFITM1ʰⁱ B,B_Other,B_cell
B_MZB,MZ B,B_CD27pos,B_cell
B_CSM,CSM B,B_CD27pos,B_cell
B_GC_LZ,GC LZ B,B_GC,B_cell
B_GC_DZ,GC DZ B,B_GC,B_cell
B_PC,Plasma cell,B_PC,B_cell
CD14pos_monocyte,CD14⁺ mono,Monocytes,Myeloid
C1QApos_macrophage,C1QA⁺ macro,Macrophage,Myeloid
C1QAposNRP1hi_macrophage,C1QA⁺ NRP1ʰⁱ macro,Macrophage,Myeloid
FCGR3Apos_monocyte,CD16⁺ mono,Monocytes,Myeloid
CD1Cpos_DC,CD1C⁺ DC,DC,Myeloid
LAMP3pos_DC,LAMP3⁺ DC,DC,Myeloid
LAMP3posIRF7pos_DC,LAMP3⁺ IRF7⁺ DC,DC,Myeloid
XCR1pos_DC,XCR1⁺ DC,DC,Myeloid
pDC,pDC,DC,Myeloid
RiboHi_DC,Ribosomalʰⁱ DC,DC,Myeloid
Mast,Mast,NonImmune,Myeloid
fibroblast,Fibroblast,NonImmune,Myeloid